group,Increased_a_lot,Increased_a_little,Stayed_the_same,Decreased_a_little,Decreased_a_lot,Dont_know
ANY_Ownership_(outright_mortgage_shared_ownership),28.5266797,56.1793829,10.6600337,1.2038566,0.2784256,3.1516214
Own_outright,24.9378954,58.5801196,11.0496225,1.1109678,0.5734225,3.7479721
Own_Mortgage,33.687959,50.9898121,10.9732251,1.4475326,0,2.9014712
Own_(part-own)_through_shared_ownership_scheme_(i.e._pay_part_mortgage_part_rent),17.2266033,78.1180265,4.6553702,0,0,0
Rent_(private_LA_and_HA),30.4983441,48.8560149,12.5751783,3.3140272,1.090893,3.6655425
Rent_from_a_private_landlord,25.9960243,50.9613729,13.7805663,4.4188995,0.3372067,4.5059302
Rent_Housing_association_(HA)_and_local_authority_(LA),35.9961267,46.2851623,11.103279,1.9648675,2.0112193,2.6393452
Rent_from_my_local_authority,39.6356024,43.0814847,11.5782238,2.3546069,0,3.3500823
Rent_from_a_housing_association,32.671093,49.2120498,10.6693683,1.6088008,3.8486741,1.990014
Living_with_family_and_friends_(whether_pay_rent_or_not),28.2934508,41.2275446,12.2735283,3.2698395,0,14.9356369
Other,21.6952742,33.8015691,5.7549442,4.8137493,0,33.9344632
