date,Unemployment_Rates,Overall_CPIH
2019-10,4.3,8.3 
2019-11,4.3,8.5 
2019-12,4.5,8.5 
2020-01,4.5,8.3 
2020-02,4.8,8.6 
2020-03,4.9,8.6 
2020-04,5.3,8.6 
2020-05,4.9,8.6 
2020-06,5.2,8.8 
2020-07,5.3,9.2 
2020-08,6.1,8.8 
2020-09,6.5,9.2 
2020-10,7.1,9.2 
2020-11,7.2,9.1 
2020-12,7.5,9.4 
2021-01,7.3,9.3 
2021-02,7.0,9.4 
2021-03,6.7,9.7 
2021-04,6.5,10.4 
2021-05,6.3,11.0 
2021-06,6.0,11.4 
2021-07,5.8,11.4 
2021-08,5.6,12.1 
2021-09,5.4,12.4 
2021-10,5.3,13.4 
2021-11,5.1,14.1 
2021-12,5.0,14.7 
2022-01,4.6,14.6 
2022-02,4.7,15.4 
2022-03,4.8,16.5 
2022-04,4.6,19.0 
2022-05,4.6,19.7 
2022-06,4.2,20.5 
2022-07,4.0,21.2 
2022-08,4.2,21.8 
2022-09,4.5,22.3 
2022-10,4.3,24.3 
2022-11,4.5,24.8 
2022-12,4.5,25.3 
2023-01,4.7,24
